Player_ID,Player_Name,Player_Location,Player_Height,Player_Hand
105376,Peter Gojowczyk,GER,185.0,R
104259,Philipp Kohlschreiber,GER,178.0,R
105732,Pierre Hugues Herbert,FRA,188.0,R
105430,Radu Albot,MDA,175.0,R
104745,Rafael Nadal,ESP,185.0,L
106368,Ramkumar Ramanathan,IND,188.0,R
124187,Reilly Opelka,USA,211.0,R
105952,Renzo Olivo,ARG,180.0,R
105575,Ricardas Berankis,LTU,175.0,R
104755,Richard Gasquet,FRA,185.0,R
105138,Roberto Bautista Agut,ESP,183.0,R
106148,Roberto Carballes Baena,ESP,183.0,R
105933,Roberto Quiroz,ECU,193.0,L
104898,Robin Haase,NED,190.0,R
103819,Roger Federer,SUI,185.0,R
105074,Ruben Bemelmans,BEL,183.0,L
105992,Ryan Harrison,USA,183.0,R
106099,Salvatore Caruso,ITA,185.0,R
105023,Sam Querrey,USA,198.0,R
105757,Sandro Ehrat,SUI,180.0,R
105053,Santiago Giraldo,COL,188.0,R
200624,Sebastian Korda,USA,196.0,R
104660,Sergiy Stakhovsky,UKR,193.0,R
104620,Simone Bolelli,ITA,183.0,R
126952,Soon Woo Kwon,KOR,180.0,R
104527,Stan Wawrinka,SUI,183.0,R
105882,Stefano Travaglia,ITA,185.0,R
126774,Stefanos Tsitsipas,GRE,193.0,R
104327,Steve Darcis,BEL,178.0,R
105449,Steve Johnson,USA,188.0,R
106121,Taro Daniel,JPN,191.0,R
126203,Taylor Fritz,USA,193.0,R
105815,Tennys Sandgren,USA,188.0,R
106423,Thanasi Kokkinakis,AUS,196.0,R
106329,Thiago Monteiro,BRA,183.0,L
105065,Tim Smyczek,USA,175.0,R
104607,Tomas Berdych,CZE,196.0,R
126205,Tommy Paul,USA,185.0,R
200005,Ugo Humbert,FRA,188.0,L
105577,Vasek Pospisil,CAN,193.0,R
126340,Viktor Durasovic,NOR,185.0,R
104678,Viktor Troicki,SRB,193.0,R
105870,Yannick Hanfmann,GER,193.0,R
120424,Yannick Maden,GER,185.0,R
106034,Yasutaka Uchiyama,JPN,183.0,R
104229,Yen Hsun Lu,TPE,180.0,R
106415,Yoshihito Nishioka,JPN,170.0,L
105216,Yuichi Sugita,JPN,173.0,R
104810,Zhe Li,CHN,185.0,R
111190,Zhizhen Zhang,CHN,193.0,R
105641,Blaz Rola,SLO,193.0,L
104122,Carlos Berlocq,ARG,183.0,R
105985,Darian King,BAR,188.0,R
105385,Donald Young,USA,183.0,L
104534,Dudi Sela,ISR,175.0,R
105015,Franko Skugor,CRO,193.0,R
105671,Gastao Elias,POR,178.0,R
105589,Gerald Melzer,AUT,188.0,L
105349,Harri Heliovaara,FIN,188.0,R
104868,James Ward,GBR,190.0,R
105497,Jose Hernandez,DOM,183.0,U
105827,Laurynas Grigelis,LTU,183.0,R
209857,Leandro Riedi,SUI,191.0,R
209863,Leo Borg,SWE,183.0,R
106412,Lucas Gomez,MEX,178.0,U
